"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ly6e",9.16019269524685e-46,1.67532018914111,0.937,0.773,2.95736821166045e-41
"Gm47283",1.03380536408118e-45,1.31737378817262,0.987,0.834,3.33764061793609e-41
"Rpl24",1.06906735366541e-45,0.844400419768991,1,1,3.45148395130879e-41
"Ndufb1-ps",1.27419316707019e-45,0.969703949332608,0.997,0.983,4.11373263988612e-41
"Cacnb3",1.8916026076655e-45,1.76829605178533,0.931,0.663,6.10703901884806e-41
"Atp5l",2.21995538962378e-45,0.909690976373332,1,0.994,7.16712597540038e-41
"Ly6h",2.47837980184409e-45,1.4808790171972,0.981,0.829,8.00144919025365e-41
"Sirpa",2.86255520782303e-45,1.47121107259386,0.972,0.785,9.24175948845665e-41
"Uqcrb",3.61355985779295e-45,1.10573695881769,1,0.934,1.16663780008845e-40
"Prkar1a",4.02080464500867e-45,1.13355784008723,0.997,0.934,1.29811677964105e-40
"Camta1",5.90298787747687e-45,1.60197216483212,0.95,0.646,1.90577963624341e-40
"Akr1a1",6.47027985839445e-45,1.12743473722174,0.987,0.939,2.08892985228265e-40
"Atp5j2",6.86267512570914e-45,0.974983962926701,1,0.994,2.2156146643352e-40
"Arhgef25",7.54676412698447e-45,2.42884136056472,0.859,0.376,2.43647279839694e-40
"Prdx2",8.09046746438473e-45,1.08005089050474,1,0.945,2.61200742087661e-40
"Sumo2",8.32563655797227e-45,1.1216028511832,0.987,0.934,2.68793176274135e-40
"Pde1a",9.13102489487271e-45,2.98308109337996,0.746,0.298,2.94795138730965e-40
"Prdx5",9.2406610125564e-45,1.21222226074492,1,0.912,2.98334740790384e-40
"Nrxn2",9.5438861700376e-45,1.67370334477005,0.937,0.635,3.08124364999664e-40
"Rpl4",1.21531333877729e-44,0.927736716712674,0.997,0.989,3.92363911424248e-40
"Idh3a",1.22151654980712e-44,1.4637427375467,0.956,0.724,3.94366618105229e-40
"mt-Co3",1.33722926971668e-44,0.786364420773094,1,1,4.31724469728029e-40
"Rps8",1.33906037459314e-44,0.768247273232533,1,1,4.32315641937396e-40
"Agap3",1.37356715729028e-44,1.34423954179374,0.966,0.807,4.43456156731168e-40
"Mapk8ip3",1.45845597617251e-44,1.33697154132971,0.987,0.834,4.70862511907294e-40
